tB,tS,tP,tV,t,Run
23.427101,42.558643,1.7307006,0.2,0.0,0
76.87172,394.76593,1.2446063,2.51,21.0,0
123.402565,149.58617,3.3003104,5.15,45.0,0
131.05167,216.98318,7.8183627,7.46,66.0,0
108.812546,103.56728,12.534452,9.77,87.0,0
72.30774,110.12732,12.553116,12.41,111.0,0
55.217476,4.7052016,14.778441,14.72,132.0,0
58.831165,61.04328,14.078672,17.03,153.0,0
41.58483,53.7241,14.520379,19.67,177.0,0
6.2643867,83.01339,9.876713,21.98,198.0,0
13.9095955,39.96578,-0.38188395,0.2,0.0,1
63.165054,392.79462,1.7536751,2.51,21.0,1
102.61016,210.09634,4.948145,5.15,45.0,1
89.958954,100.90746,8.396411,7.46,66.0,1
82.35425,112.696594,12.680805,9.77,87.0,1
69.81846,28.968256,11.342476,12.41,111.0,1
56.307243,61.10992,12.32896,14.72,132.0,1
53.51203,57.1798,14.337945,17.03,153.0,1
38.465237,26.13806,11.30061,19.67,177.0,1
55.077374,30.284615,12.607762,21.98,198.0,1
-7.627011,97.420654,-0.9274809,0.2,0.0,2
51.59002,339.43723,1.3628819,2.51,21.0,2
129.64737,217.73323,3.6301458,5.15,45.0,2
144.2724,53.33458,5.742306,7.46,66.0,2
115.279305,64.98585,8.414706,9.77,87.0,2
99.02114,136.7523,16.69666,12.41,111.0,2
34.01546,65.57799,17.476078,14.72,132.0,2
32.148666,59.44238,12.70162,17.03,153.0,2
20.721983,69.825676,16.813362,19.67,177.0,2
7.389433,127.65571,14.018848,21.98,198.0,2
0.5997599,30.2066,-0.19042747,0.2,0.0,3
41.920506,344.58102,0.5194548,2.51,21.0,3
126.37131,232.47711,2.5871654,5.15,45.0,3
129.33318,77.97079,7.557257,7.46,66.0,3
112.88357,82.92817,8.707426,9.77,87.0,3
93.34974,123.34696,14.316916,12.41,111.0,3
66.069435,109.694084,15.841545,14.72,132.0,3
46.459476,-35.277184,13.3901005,17.03,153.0,3
21.220566,28.855175,15.850313,19.67,177.0,3
32.691998,39.697548,10.864638,21.98,198.0,3
6.0761857,-32.673176,3.1694448,0.2,0.0,4
44.849274,315.23135,0.12857889,2.51,21.0,4
124.21024,239.66179,2.7154741,5.15,45.0,4
171.07852,129.89143,9.346339,7.46,66.0,4
100.77792,88.756905,13.505339,9.77,87.0,4
98.967384,90.14904,14.328053,12.41,111.0,4
59.96123,128.88428,18.174036,14.72,132.0,4
58.780663,46.990093,9.111663,17.03,153.0,4
53.69923,15.254928,13.957131,19.67,177.0,4
16.568546,66.630646,13.36131,21.98,198.0,4
20.910343,-16.655691,0.95397633,0.2,0.0,5
65.51245,475.1092,1.1052604,2.51,21.0,5
137.99976,150.95232,1.6318554,5.15,45.0,5
119.50636,107.5604,7.083983,7.46,66.0,5
111.25075,150.72314,10.640797,9.77,87.0,5
93.33351,54.8505,15.297633,12.41,111.0,5
78.461945,-18.516575,16.30382,14.72,132.0,5
27.106308,68.79915,16.365927,17.03,153.0,5
57.702724,127.096855,15.558332,19.67,177.0,5
26.630264,73.617004,18.254154,21.98,198.0,5
-6.295027,-22.747099,2.1238747,0.2,0.0,6
45.87683,269.71832,0.09182704,2.51,21.0,6
135.92181,236.55717,3.2629013,5.15,45.0,6
126.25543,171.6642,8.802445,7.46,66.0,6
125.7688,46.81806,11.111323,9.77,87.0,6
87.442314,69.96189,13.695308,12.41,111.0,6
59.384365,82.41542,16.49054,14.72,132.0,6
76.95137,-51.971123,16.239653,17.03,153.0,6
33.554947,71.57468,14.750247,19.67,177.0,6
55.400177,42.5973,15.299257,21.98,198.0,6
6.1565833,90.4518,1.8400258,0.2,0.0,7
48.19217,397.60852,1.6318856,2.51,21.0,7
142.11983,229.8799,2.0388286,5.15,45.0,7
128.73816,181.12572,8.024245,7.46,66.0,7
101.283195,73.08346,11.931307,9.77,87.0,7
96.63614,83.59723,12.344645,12.41,111.0,7
89.07983,1.2199713,16.310326,14.72,132.0,7
22.011063,135.93005,15.257086,17.03,153.0,7
30.80803,70.46648,14.131547,19.67,177.0,7
73.90089,98.58853,14.753692,21.98,198.0,7
-11.899417,-39.174023,2.4873195,0.2,0.0,8
61.8988,333.58887,0.8262616,2.09,21.0,8
115.01735,259.6819,2.8602843,4.25,45.0,8
131.19948,102.179504,5.3067613,6.1400003,66.0,8
107.15126,37.449577,13.472282,8.03,87.0,8
78.82855,58.630276,14.727953,10.19,111.0,8
61.14423,-3.4084542,13.032826,12.08,132.0,8
58.094936,56.680225,14.589941,13.969999,153.0,8
65.94152,11.958127,15.288225,16.13,177.0,8
27.589106,58.752636,16.541836,18.02,198.0,8
